series,operator,circle
9000,AT,AP
9001,AT,RJ
9002,AT,WB
9003,AT,TN
9004,AT,MU
9005,AT,UE
9006,AT,BR
9007,AT,KO
9008,AT,KA
9009,VI,MP
9010,VI,AP
9011,VI,MH
9012,VI,UW
9013,CG,DL
9014,RJ,AP
9015,RJ,HP
9016,RJ,GJ
9017,,
9018,,
9019,RJ,KA
9020,,
9021,RJ,MH
9022,RJ,MH
9023,RJ,GJ
9024,RJ,RJ
9025,RJ,TN
9026,RJ,UE
9027,RJ,UW
9028,AT,MH
9029,AT,MU
9030,AT,AP
9031,AT,BR
9032,AT,AP
9033,AT,GJ
9034,AT,HR
9035,AT,KA
9036,AT,KA
9037,AT,KL
9038,AT,KO
9039,AT,MP
9040,AT,OR
9041,AT,PB
9042,AT,TN
9043,AT,TN
9044,AT,UE
9045,AT,UW
9046,AT,WB
9047,VI,TN
9048,VI,KL
9049,VI,MH
9050,VI,HR
9051,VI,KO
9052,VI,AP
9053,AT,HR
9054,AT,HP
9055,AT,JK
9056,AT,PB
9057,AT,RJ
9058,AT,UW
9059,AT,AP
9060,AT,BR
9061,AT,KL
9062,AT,KO
9063,VI,AP
9064,VI,AS
9065,,
9066,,
9067,,
9068,AT,UW
9069,,
9070,VI,JK
9071,VI,KA
9072,VI,KL
9073,VI,KO
9074,RJ,KL
9075,VI,MH
9076,,
9077,,
9078,,
9079,RJ,RJ
9080,RJ,TN
9081,,
9082,,
9083,,
9084,AT,UW
9085,VI,AS
9086,VI,JK
9087,VI,TN
9088,VI,KO
9089,VI,NE
9090,VI,OR
9091,VI,WB
9092,VI,TN
9093,VI,WB
9094,AT,TN
9095,,
9096,AT,MH
9097,,
9098,,
9099,VI,GJ
9100,AT,AP
9101,RJ,AS
9102,AT,BR
9103,AT,AP
9104,AT,GJ
9105,,
9106,,
9107,,
9108,AT,KA
9109,AT,MP
9110,RJ,KA
9111,VI,MP
9112,VI,MH
9113,RJ,KA
9114,,
9115,,
9116,,
9117,VI,BR
9118,,
9119,,
9120,,
9121,AT,AP
9122,AT,BR
9123,RJ,KO
9124,AT,OR
9125,AT,UE
9126,AT,WB
9127,,
9128,VI,BR
9129,AT,UE
9130,VI,MH
9131,RJ,MP
9132,,
9133,,
9134,,
9135,VI,BR
9136,AT,MU
9137,RJ,MU
9138,AT,HR
9139,,
9140,RJ,UE
9141,CG,KA
9142,RJ,BR
9143,,
9144,,
9145,,
9146,VI,MH
9147,AT,KO
9148,AT,KA
9149,RJ,JK
9150,AT,TN
9151,AT,UE
9152,VI,MU
9153,,
9154,AT,AP
9155,AT,BR
9156,AT,MH
9157,AT,GJ
9158,VI,MH
9159,VI,TN
9160,VI,AP
9161,VI,UE
9162,AT,BR
9163,AT,KO
9164,VI,KA
9165,AT,MP
9166,AT,RJ
9167,VI,MU
9168,VI,MH
9169,,
9170,AT,UE
9171,AT,TN
9172,AT,MU
9173,AT,GJ
9174,AT,MP
9175,AT,MH
9176,VI,TN
9177,AT,AP
9178,AT,OR
9179,AT,MP
9180,CG,AP
9181,CG,AS
9182,RJ,AP
9183,CG,TN
9184,CG,GJ
9185,CG,HP
9186,CG,JK
9187,CG,KA
9188,CG,KL
9189,CG,KO
9190,CG,MP
9191,CG,NE
9192,CG,OR
9193,CG,PB
9194,CG,RJ
9195,CG,TN
9196,CG,UE
9197,CG,WB
9198,AT,UE
9199,AT,BR
9200,AT,MP
9201,RJ,MP
9202,RJ,MP
9203,RJ,MP
9204,RJ,BR
9205,AT,DL
9206,,
9207,VI,KL
9208,,
9209,,
9210,,
9211,,
9212,,
9213,,
9214,RJ,UE
9215,RJ,GJ
9216,AT,RJ
9217,,
9218,RJ,DL
9219,RJ,UE
9220,,
9221,,
9222,,
9223,,
9224,RJ,MU
9225,,
9226,RJ,MH
9227,RJ,GJ
9228,,
9229,RJ,BR
9230,RJ,KO
9231,,
9232,,
9233,AT,NE
9234,RJ,BR
9235,RJ,UE
9236,RJ,UE
9237,RJ,OR
9238,RJ,MP
9239,RJ,WB
9240,AT,TN
9241,RJ,BR
9242,RJ,WB
9243,,
9244,RJ,MP
9245,RJ,NE
9246,,
9247,,
9248,,
9249,RJ,KL
9250,RJ,UE
9251,RJ,RJ
9252,RJ,RJ
9253,,
9254,RJ,HR
9255,CG,MU
9256,AT,RJ
9257,AT,RJ
9258,,
9259,RJ,UW
9260,,
9261,RJ,RJ
9262,AT,BR
9263,RJ,BR
9264,,
9265,RJ,GJ
9266,AT,DL
9267,AT,UP
9268,,
9269,RJ,RJ
9270,RJ,MH
9271,,
9272,RJ,MH
9273,RJ,MH
9274,RJ,GJ
9275,,
9276,RJ,GJ
9277,RJ,UE
9278,RJ,UE
9279,RJ,BR
9280,RJ,TN
9281,RJ,AP
9282,,
9283,,
9284,RJ,MH
9285,VI,
9286,,
9287,RJ,AS
9288,,
9289,,
9290,,
9291,,
9292,,
9293,,
9294,,
9295,,
9296,RJ,BR
9297,,
9298,RJ,NE
9299,,
9300,,
9301,RJ,MP
9302,RJ,MP
9303,,
9304,RJ,BR
9305,RJ,UE
9306,RJ,HR
9307,,
9308,RJ,OR
9309,RJ,MH
9310,RJ,DL
9311,AT,DL
9312,,
9313,RJ,GJ
9314,,
9315,RJ,DL
9316,RJ,GJ
9317,RJ,HP
9318,RJ,DL
9319,AT,DL
9320,,
9321,RJ,MU
9322,RJ,MH
9323,,
9324,RJ,MU
9325,RJ,MH
9326,RJ,MU
9327,RJ,GJ
9328,RJ,GJ
9329,,
9330,RJ,KO
9331,,
9332,,
9333,,
9334,RJ,BR
9335,RJ,UE
9336,RJ,UE
9337,RJ,OR
9338,,
9339,,
9340,RJ,MP
9341,RJ,BR
9342,RJ,TN
9343,RJ,MP
9344,RJ,TN
9345,RJ,TN
9346,RJ,AP
9347,RJ,AP
9348,RJ,OR
9349,RJ,KL
9350,RJ,HR
9351,,
9352,,
9353,RJ,KA
9354,RJ,DL
9355,VI,DL
9356,RJ,MH
9357,,
9358,AT,RJ
9359,RJ,MH
9360,RJ,TN
9361,,
9362,,
9363,,
9364N,,
9365,,
9366,,
9367N,,
9368,RJ,UW
9369,RJ,UE
9370,RJ,MH
9371,VI,MH
9372,RJ,MU
9373,RJ,MH
9374,VI,RJ
9375,VI,RJ
9376,VI,RJ
9377,,
9378,AT,NE
9379,,
9380,RJ,KA
9381,RJ,AP
9382,RJ,WB
9383,CG,KL
9384,AT,TN
9385,CG,TN
9386,,
9387,,
9388,,
9389,RJ,UW
9390,RJ,AP
9391,RJ,AP
9392,RJ,AP
9393,,
9394,,
9395,,
9396,,
9397,,
9398,RJ,AP
9399,,
9400,CG,KL
9401,CG,AS
9402,CG,NE
9403,CG,MH
9404,CG,MH
9405,CG,MH
9406,CG,MP
9407,CG,MP
9408,CG,GJ
9409,CG,GJ
9410,CG,UW
9411,CG,UW
9412,CG,UW
9413,CG,RJ
9414,CG,RJ
9415,CG,UE
9416,CG,HR
9417,CG,PB
9418,CG,HP
9419,CG,JK
9420,CG,MH
9421,CG,MH
9422,CG,MH
9423,CG,MH
9424,CG,MP
9425,CG,MP
9426,CG,GJ
9427,CG,GJ
9428,CG,GJ
9429,CG,GJ
9430,CG,BR
9431,CG,BR
9432,CG,KO
9433,CG,KO
9434,CG,WB
9435,CG,AS
9436,CG,NE
9437,CG,OR
9438,CG,OR
9439,CG,OR
9440,CG,AP
9441,CG,AP
9442,CG,TN
9443,CG,TN
9444,CG,TN
9445,CG,TN
9446,CG,KL
9447,CG,KL
9448,CG,KA
9449,CG,KA
9450,CG,UE
9451,CG,UE
9452,CG,UE
9453,CG,UE
9454,CG,UE
9455,CG,UE
9456,CG,UW
9457,CG,UW
9458,CG,UW
9459,CG,HP
9460,CG,RJ
9461,CG,RJ
9462,CG,RJ
9463,CG,PB
9464,CG,PB
9465,CG,PB
9466,CG,HR
9467,CG,HR
9468,CG,HR
9469,CG,JK
9470,CG,BR
9471,CG,BR
9472,CG,BR
9473,CG,UE
9474,CG,WB
9475,CG,WB
9476,CG,WB
9477,CG,KO
9478,CG,PB
9479,CG,MP
9480,CG,KA
9481,CG,KA
9482,CG,KA
9483,CG,KA
9484,CG,JK
9485,CG,NE
9486,CG,TN
9487,CG,TN
9488,CG,TN
9489,CG,TN
